neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,AvgAccomodates
Sexton Mountain,Entire home/apt,2,27,129.5,3,7
Sexton Mountain,Private room,4,30,55,1,1.75
Sexton Mountain,Total,6,57,79.83,1.67,3.5
South Beaverton,Private room,1,2,60,1,2
South Beaverton,Total,1,2,60,1,2
South Tabor,Entire home/apt,39,967,124.15,1.67,4.26
South Tabor,Private room,32,923,73.06,1,2.06
South Tabor,Shared room,1,15,34,1,2
South Tabor,Total,72,1905,100.19,1.36,3.25
Southwest Hills,Entire home/apt,19,504,198.47,1.63,3.95
Southwest Hills,Private room,15,877,91.6,1,2.2
Southwest Hills,Total,34,1381,151.32,1.35,3.18
Sunderland,Private room,1,0,100,1,2
Sunderland,Total,1,0,100,1,2
Triple Creek,Private room,7,109,48.57,1,1.86
Triple Creek,Total,7,109,48.57,1,1.86
University Park,Entire home/apt,8,190,152.38,2,5.25
University Park,Private room,8,151,49.13,1,2
University Park,Total,16,341,100.75,1.5,3.63
Vose,Entire home/apt,3,9,145.67,3,5.67
Vose,Private room,5,113,50.8,1,2.2
Vose,Total,8,122,86.38,1.75,3.5
West Beaverton,Entire home/apt,5,59,178.8,2.8,7
West Beaverton,Private room,1,4,30,1,1
West Beaverton,Total,6,63,154,2.5,6
West Slope,Entire home/apt,4,162,102.25,1,2.5
West Slope,Total,4,162,102.25,1,2.5
Wilkes,Entire home/apt,7,342,97.86,1.71,3.71
Wilkes,Total,7,342,97.86,1.71,3.71
Woodlawn,Entire home/apt,99,3617,126.82,1.74,4.18
Woodlawn,Private room,55,1698,57.24,1,1.96
Woodlawn,Total,154,5315,101.97,1.47,3.39
Woodstock,Entire home/apt,29,781,123.97,1.79,4.38
Woodstock,Private room,26,853,62.08,1,2.15
Woodstock,Total,55,1634,94.71,1.42,3.33
