neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,avgAccommodates
Reed,Private room,5,254,65,1,2.8
Reed,Total,14,392,100.36,1.36,3.5
Richmond,Entire home/apt,191,6924,137.32,1.66,4.19
Richmond,Private room,105,4361,75.33,1,2.09
Richmond,Shared room,5,64,70.2,1,1.8
Richmond,Total,301,11349,114.58,1.42,3.42
Roseway,Entire home/apt,66,2049,134.06,1.62,3.91
Roseway,Private room,53,1599,62.68,1,2.13
Roseway,Total,119,3648,102.27,1.34,3.12
Saintjohns,Entire home/apt,4,157,78.25,1.25,3.75
Saintjohns,Private room,5,31,43,1,2.4
Saintjohns,Total,9,188,58.67,1.11,3
Sellwood-Moreland,Entire home/apt,47,1838,140.49,1.68,4.51
Sellwood-Moreland,Private room,27,718,66.04,1,2.37
Sellwood-Moreland,Total,74,2556,113.32,1.43,3.73
Sexton Mountain,Entire home/apt,1,0,200,3,6
Sexton Mountain,Private room,5,64,55.8,1,3
Sexton Mountain,Total,6,64,79.83,1.33,3.5
South Beaverton,Private room,1,6,60,1,2
South Beaverton,Total,1,6,60,1,2
South Tabor,Entire home/apt,39,1027,116.36,1.67,4.31
South Tabor,Private room,33,998,70.52,1,2.12
South Tabor,Total,72,2025,95.35,1.36,3.31
Southwest Hills,Entire home/apt,17,511,200.24,1.82,3.94
Southwest Hills,Private room,17,999,90.06,1,2.18
Southwest Hills,Total,34,1510,145.15,1.41,3.06
Sunderland,Private room,1,0,100,1,1
Sunderland,Total,1,0,100,1,1
University Park,Entire home/apt,7,213,154.14,2,5.43
University Park,Private room,6,143,51,1,2
University Park,Total,13,356,106.54,1.54,3.85
Vose,Entire home/apt,3,12,145.67,3,5.67
Vose,Private room,5,120,52,1,2.2
Vose,Total,8,132,87.13,1.75,3.5
West Beaverton,Entire home/apt,5,63,185.8,2.8,7.6
West Beaverton,Private room,2,6,47.5,1,1.5
West Beaverton,Total,7,69,146.29,2.29,5.86
West Slope,Entire home/apt,4,183,102.25,1,2.5
West Slope,Private room,1,5,42,1,2
West Slope,Total,5,188,90.2,1,2.4
Wilkes,Entire home/apt,7,387,96.86,1.71,3.71
Wilkes,Total,7,387,96.86,1.71,3.71
Woodlawn,Entire home/apt,101,3932,129.09,1.77,4.22
Woodlawn,Private room,56,1617,55.55,1,1.93
Woodlawn,Total,157,5549,102.86,1.5,3.4
Woodstock,Entire home/apt,31,849,132.48,1.71,4.29
Woodstock,Private room,26,933,63.42,1,2.12
Woodstock,Total,57,1782,100.98,1.39,3.3
